z,Pm,k
5.756974515584,-0.0,1.9208581062293337e-06
5.756974515584,0.0,1.001291777604449e-06
5.756974515584,-0.0,5.126413946183276e-07
5.756974515584,0.0,2.644248302814393e-07
5.756974515584,-0.0,1.3568061156325812e-07
5.756974515584,-0.0,7.23877380569826e-08
5.756974515584,0.0,2.3402679320901313e-07
5.89211400589568,0.0,0.0
5.89211400589568,5.37586683381391e-10,0.00039269908169872416
5.89211400589568,-5.286951515350466e-09,0.0002834061506615966
5.89211400589568,-3.791744336239869e-09,0.00014574429888203003
5.89211400589568,-3.0396700346505695e-09,6.713585100576232e-05
5.89211400589568,-2.767739216504958e-09,4.9527288465133374e-05
5.89211400589568,-2.6028974647487534e-09,2.2257399888142382e-05
5.89211400589568,5.75723832545236e-09,1.1924432696652188e-05
5.89211400589568,-1.4768547504582663e-09,6.296451555382468e-06
5.89211400589568,-2.390366217029113e-10,3.232711490201579e-06
5.89211400589568,-2.0332590126199464e-12,1.680750842950667e-06
5.89211400589568,5.8176049316483154e-11,8.761303054038928e-07
5.89211400589568,1.8171299165566414e-11,4.485612202910366e-07
5.89211400589568,5.830277545584703e-13,2.3137172649625937e-07
5.89211400589568,3.552954968175999e-13,1.1872053511785086e-07
5.89211400589568,1.3419107798489783e-12,6.333927079985977e-08
5.89211400589568,2.2682254421912463e-12,2.047734440578865e-07
6.029956286013594,0.0,0.0
6.029956286013594,3.542517452362998e-08,0.00034906585039886593
6.029956286013594,-1.5259705777752672e-07,0.0002519165783658636
6.029956286013594,-7.978904414177037e-08,0.0001295504878951378
6.029956286013594,-7.051504215644108e-09,5.9676312005122065e-05
6.029956286013594,-2.7478103318752278e-08,4.4024256413451883e-05
6.029956286013594,-1.1731960378266042e-08,1.9784355456126565e-05
6.029956286013594,-5.019327517711071e-10,1.05994957303575e-05
6.029956286013594,-5.608803553534084e-09,5.596845827006638e-06
6.029956286013594,6.72062817010529e-10,2.873521324623626e-06
6.029956286013594,1.4276138134818088e-09,1.4940007492894818e-06
6.029956286013594,2.694223918372075e-10,7.787824936923493e-07
6.029956286013594,4.723724464305788e-11,3.987210847031437e-07
6.029956286013594,3.1419956775846514e-11,2.056637568855639e-07
6.029956286013594,-2.712067299307016e-12,1.0552936454920076e-07
6.029956286013594,-6.698667342561265e-13,5.6301574044319795e-08
6.029956286013594,7.499414180499427e-12,1.8202083916256578e-07
6.170555411733866,-0.0,0.0
6.170555411733866,2.0594659915904337e-08,0.00031415926535897936
6.170555411733866,-2.516356349611828e-07,0.00022672492052927724
6.170555411733866,-1.4313648275077328e-07,0.00011659543910562402
6.170555411733866,2.1714146381286377e-08,5.370868080460986e-05
6.170555411733866,1.7748645648342928e-08,3.96218307721067e-05
6.170555411733866,-4.043418834048998e-08,1.7805919910513906e-05
6.170555411733866,8.229268956809507e-09,9.53954615732175e-06
6.170555411733866,3.7118950719418538e-09,5.037161244305974e-06
6.170555411733866,-6.096278264084954e-09,2.586169192161263e-06
6.170555411733866,1.1363742742943905e-09,1.3446006743605336e-06
6.170555411733866,5.932020966582612e-10,7.009042443231142e-07
6.170555411733866,-8.366946784401405e-11,3.588489762328293e-07
6.170555411733866,2.842728010398187e-11,1.8509738119700751e-07
6.170555411733866,3.557582631284362e-12,9.497642809428069e-08
6.170555411733866,-6.294141703899562e-12,5.0671416639887815e-08
6.170555411733866,-1.1585819464933779e-11,1.638187552463092e-07
6.3139665199685435,-0.0,0.0
6.3139665199685435,-4.801454181962672e-07,0.00028559933214452666
6.3139665199685435,-3.4465334330220204e-07,0.00020611356411752478
6.3139665199685435,-1.3449779392725265e-08,0.00010599585373238548
6.3139665199685435,-4.937879464750017e-09,4.8826073458736235e-05
6.3139665199685435,9.125839576027521e-08,3.6019846156460636e-05
6.3139665199685435,-4.2056702846152193e-08,1.6187199918649007e-05
6.3139665199685435,-2.4273396472095152e-08,8.672314688474319e-06
6.3139665199685435,-1.456552828243464e-11,4.5792374948236125e-06
6.3139665199685435,1.2230305137841479e-09,2.3510629019647847e-06
6.3139665199685435,6.753075344966657e-10,1.222364249418667e-06
6.3139665199685435,1.799696438375536e-10,6.371856766573766e-07
6.3139665199685435,-9.665507012333236e-10,3.2622634202984483e-07
6.3139665199685435,-2.830195643015393e-10,1.682703465427341e-07
6.3139665199685435,-1.2188903656877677e-10,8.634220735843699e-08
6.3139665199685435,5.7500275729783914e-11,4.6064924218079834e-08
