# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
3.5     1.040638539702e-05      3.763888454590e+00
3.5     1.310086302123e-05      4.702255567246e+00
3.5     1.649300937386e-05      5.874560934320e+00
3.5     2.076346861771e-05      7.339122240369e+00
3.5     2.613965827982e-05      9.168791050996e+00
3.5     3.290788006409e-05      1.145457096555e+01
3.5     4.142856646095e-05      1.431013337828e+01
3.5     5.215547509190e-05      1.787744846483e+01
3.5     6.565985295739e-05      2.233379974151e+01
3.5     8.266085742272e-05      2.790051099946e+01
3.5     1.040638539702e-04      3.485376886464e+01
3.5     1.310086302123e-04      4.353799584071e+01
3.5     1.649300937386e-04      5.438225832819e+01
3.5     2.076346861771e-04      6.792018816415e+01
3.5     2.613965827982e-04      8.481374977208e+01
3.5     3.290788006409e-04      1.058807898388e+02
3.5     4.142856646095e-04      1.321254434963e+02
3.5     5.215547509190e-04      1.647688545268e+02
3.5     6.565985295739e-04      2.052750675637e+02
3.5     8.266085742272e-04      2.553636710708e+02
3.5     1.040638539702e-03      3.169983635630e+02
3.5     1.310086302123e-03      3.923413620441e+02
3.5     1.649300937386e-03      4.836503599138e+02
3.5     2.076346861771e-03      5.931353446808e+02
3.5     2.613965827982e-03      7.225926035139e+02
3.5     3.290788006409e-03      8.728688289564e+02
3.5     4.142856646095e-03      1.043167467676e+03
3.5     5.215547509190e-03      1.230102682395e+03
3.5     6.565985295739e-03      1.426580137007e+03
3.5     8.266085742272e-03      1.620530564678e+03
3.5     1.040638539702e-02      1.793685899356e+03
3.5     1.310086302123e-02      1.920806074115e+03
3.5     1.649300937383e-02      1.970969567344e+03
3.5     2.076346845758e-02      1.913693773491e+03
3.5     2.613953535810e-02      1.734714486008e+03
3.5     3.289074948932e-02      1.461260365732e+03
3.5     4.085496948384e-02      1.187222724649e+03
3.5     4.758645817065e-02      1.030022768403e+03
3.5     5.246534223406e-02      9.529055847605e+02
3.5     5.648595286818e-02      9.048961462015e+02
3.5     6.007449462291e-02      8.686808795435e+02
3.5     6.342071539796e-02      8.370289265602e+02
3.5     6.662494229477e-02      8.063113057848e+02
3.5     6.974728753551e-02      7.745839415775e+02
3.5     7.282721459431e-02      7.409179237182e+02
3.5     7.589252360485e-02      7.050835389966e+02
3.5     7.896394793143e-02      6.673780682522e+02
3.5     8.205770709328e-02      6.284892674674e+02
3.5     8.518701887277e-02      5.893720677812e+02
3.5     8.836304229388e-02      5.511153969607e+02
3.5     9.159549089029e-02      5.148126752779e+02
3.5     9.489304557728e-02      4.814393495712e+02
3.5     9.826364067105e-02      4.517479911276e+02
3.5     1.017146667450e-01      4.261901333446e+02
3.5     1.052531172684e-01      4.048648999969e+02
3.5     1.088856962014e-01      3.875078247862e+02
3.5     1.126188978196e-01      3.734929120564e+02
3.5     1.164590663788e-01      3.618794608388e+02
3.5     1.204124408947e-01      3.514921860894e+02
3.5     1.244851888030e-01      3.410636319474e+02
3.5     1.286834312658e-01      3.294253418601e+02
3.5     1.330132622335e-01      3.157396175529e+02
3.5     1.374807629271e-01      2.996997927372e+02
3.5     1.420920131156e-01      2.816296485244e+02
3.5     1.468531003701e-01      2.624300108049e+02
3.5     1.517701283501e-01      2.433648017467e+02
3.5     1.568492251005e-01      2.257555867620e+02
3.5     1.620965522838e-01      2.106408644228e+02
3.5     1.675183162461e-01      1.985148743107e+02
3.5     1.731207817908e-01      1.892193175800e+02
3.5     1.789102895246e-01      1.819579764995e+02
3.5     1.848932776290e-01      1.755690189914e+02
3.5     1.910763089075e-01      1.687481068832e+02
3.5     1.974661039619e-01      1.604968159478e+02
3.5     2.040695813624e-01      1.506482318507e+02
3.5     2.108939057123e-01      1.399083593222e+02
3.5     2.179465445608e-01      1.294321318995e+02
3.5     2.252353352192e-01      1.202450478373e+02
3.5     2.327685626799e-01      1.128792858795e+02
3.5     2.405550500539e-01      1.071925489081e+02
3.5     2.486042632468e-01      1.023850648643e+02
3.5     2.569264320095e-01      9.744924848078e+01
3.5     2.655326900614e-01      9.178515896906e+01
3.5     2.744352377335e-01      8.548316739798e+01
3.5     2.836475315701e-01      7.922510935006e+01
3.5     2.931845066381e-01      7.377897257888e+01
3.5     3.030628390319e-01      6.936694279295e+01
3.5     3.133012583707e-01      6.560240590762e+01
3.5     3.239209231947e-01      6.187810718573e+01
3.5     3.349458763741e-01      5.784332520881e+01
3.5     3.464036034235e-01      5.372035608786e+01
3.5     3.583257246456e-01      4.994460066966e+01
3.5     3.707488633635e-01      4.671749505431e+01
3.5     3.837157487360e-01      4.379025589816e+01
3.5     3.972766353284e-01      4.085028493677e+01
3.5     4.114911567648e-01      3.788243756127e+01
3.5     4.264307840594e-01      3.511005098966e+01
3.5     4.421821417540e-01      3.260949694801e+01
3.5     4.588515659937e-01      3.024536314012e+01
3.5     4.765715023592e-01      2.789988990607e+01
3.5     4.955097004706e-01      2.566077938070e+01
3.5     5.158827870432e-01      2.358328177938e+01
3.5     5.379769276834e-01      2.156224647803e+01
3.5     5.621804171447e-01      1.960293399405e+01
3.5     5.890372583406e-01      1.772976363372e+01
3.5     6.193396372156e-01      1.589145412210e+01
3.5     6.542969511286e-01      1.409247578449e+01
3.5     6.958662826103e-01      1.230015950542e+01
3.5     7.474500672257e-01      1.049272401462e+01
3.5     8.154878167808e-01      8.630346866251e+00
3.5     9.132176747887e-01      6.677233410355e+00
3.5     1.067681861987e+00      4.663540675661e+00
3.5     1.313696908781e+00      2.873871417387e+00
3.5     1.651041754173e+00      1.669557922461e+00
3.5     2.078484682313e+00      9.573591948948e-01
3.5     2.616656982536e+00      5.444351619999e-01
3.5     3.294175969156e+00      3.073134670778e-01
3.5     4.147121838492e+00      1.722979462528e-01
3.5     5.220917068284e+00      9.600597810916e-02
3.5     6.572745170133e+00      5.319507172455e-02
3.5     8.274595919928e+00      2.932249789318e-02
3.5     1.041709907593e+01      1.608689495611e-02
3.5     1.311435074386e+01      8.786989021027e-03
3.5     1.650998941063e+01      4.780189338245e-03
4.0     1.040638539702e-05      3.054249452071e+00
4.0     1.310086302123e-05      3.815698080361e+00
4.0     1.649300937386e-05      4.766978713686e+00
4.0     2.076346861771e-05      5.955414009573e+00
